Mã,Sector,ROA,ROE,ROS,EBIT,EBITDA,EBIT Margin ,EBITDA Margin ,Gross Profit Margin ,BEP ,Revenue Growth ,Net Income Growth ,Interest Coverage Ratio,Total Assets Growth ,Current Ratio,Quick Ratio,D/A ,D/E ,E/A ,Inventory Turnover,Accounts Receivable Turnover,Working Capital Turnover,Total Asset Turnover
A32,Hàng cá nhân,7.428688329,16.69347779,5.427013748,45760349347,45760349347,6.493284905,6.493284905,11.60958109,8.886262178,-0.033002528,-1.260728181,,1.380435611,1.359545016,0.724195259,55.49615995,126.2360456,44.50384005,3.944630787,4.936569232,7.038837067,1.327834542
AAA,Hóa chất,2.510868566,5.007775732,2.38425011,1.62E+11,5.55E+11,1.392845184,4.800101055,9.57929886,1.474080077,19.27101248,28.64176339,-0.96390377,12.66049427,1.541588479,1.209963469,48.90967947,97.22580384,51.09032053,11.03263719,7.726386028,6.941749695,1.255464798
AAH,Khai khoáng,1.048977662,1.238211623,3.26563918,18017979105,18017979105,3.735904601,3.735904601,10.29335532,1.27743064,404.3335033,53.12104155,-6.853438142,10.47086195,2.262356438,1.766595503,14.55088076,17.23812126,85.44911924,25.07237866,3.247629009,5.38589278,0.841041578
AAM,Sản xuất thực phẩm,-0.12444311,-0.170490831,-1.071762628,57155469.8,1999557222,-1.019737658,0.311694902,4.410238609,-0.05830741,11.43945082,1549.641575,27.64193949,-0.869498242,23.1627996,9.603137875,4.640716756,4.903082994,95.35928324,1.494699268,13.92776685,0.973355955,0.758713441
AAS,Dịch vụ tài chính,8.260907996,11.93047474,19.76345696,1.82E+11,1.88E+11,17.73799079,18.63276511,35.27659707,9.415967144,8.572778198,2792.351409,-42.76307424,72.29380357,2.909652128,,37.84950342,64.71189771,62.15049658,,3.416154126,0.67343416,0.443450345
AAT,Hàng cá nhân,2.708980669,3.874769999,3.949863936,19097710863,60461347636,2.541537455,10.83133129,11.59915799,1.990853449,31.90285064,32.37857473,-1.295222897,25.74335005,2.272763949,2.153204245,32.69180043,50.00201736,67.30819957,35.53800225,1.889388168,3.044581558,0.658897443
AAV,Bất động sản,0.483367588,0.777849207,-9.593339695,2534347946,13885613436,-11.10819324,-0.49211694,6.435850517,0.377925758,-19.69109232,-148.1502448,7.008321971,15.23668288,4.538877211,4.466279638,22.43702659,30.1917098,77.56297341,25.88245844,0.455527359,0.636921981,0.305734647
ABA,Vận tải,-20.34633088,103.2133123,-18.35358207,-1.16E+11,-78745570687,-32.61443979,-22.00457033,12.31556131,-36.39387721,16.19256613,19.84189216,2.315656903,-4.208342866,0.25670999,0.243546531,124.4143798,-636.3654372,-24.41437985,1979.377469,4.71213014,-1.318233775,1.187374842
ABB,Ngân hàng,0.783635049,8.78950447,,,,,,,,,-1.336957294,,11.2816759,,,91.26984293,1058.906543,8.730157075,,,,
ABC,Viễn thông di động,5.035465611,72.05909727,3.162184921,12044588410,21055937150,3.245858351,3.871520098,2.701664441,5.251039539,-19.92972247,-35.27295387,-7.51529923,2.874043687,2.180272458,2.164799005,55.38250275,-43.7792231,44.61749725,583.2238855,3.98479018,-9.119403497,1.596436516
ABI,Bảo hiểm phi nhân thọ,7.034081561,19.08022763,13.11910348,,,,,35.77601493,,6.065326431,-7.860726283,,9.791619132,1.50678293,1.505522364,62.92422968,170.2364433,37.07577032,731.3938956,11.19417799,1.700005653,0.54616152
ABR,Tư vấn & Hỗ trợ Kinh doanh,7.19501932,8.845617829,39.91071933,31921442126,33675326954,53.66216583,56.70778277,59.15593481,9.341046847,-22.91719692,-1.595711092,,6.278449808,3.460397279,3.450551448,18.48973541,22.80700764,81.51026459,178.1078862,1.694446961,0.492895263,0.206258541
ABS,Hóa chất,2.065510576,4.347103453,2.530070391,1918416424,1918416424,-0.781690504,-0.781690504,4.662238366,0.157497575,-13.74786651,-40.36322802,-1.234112855,-0.255096455,3.548851743,3.534458487,40.20733394,81.43568046,59.79266606,213.5314039,0.881080018,2.104017488,0.697495179
ABT,Sản xuất thực phẩm,7.816866126,10.65563476,10.20795016,53519261504,66208275143,10.52965737,13.40026973,16.79910507,8.084619326,20.51335639,63.52690558,-15.73058141,9.171784576,1.974649383,1.167044928,26.48007722,36.16951909,73.51992278,4.155077558,9.336348375,3.318640753,0.814723148
ABW,Dịch vụ tài chính,3.96295235,7.123045018,25.25662692,68718480882,73910926830,21.51168465,23.34379736,62.8813841,3.506651149,38.88141646,55.98121531,-3.552992488,50.95831013,2.224526396,,44.02770799,82.10415376,55.97229201,,52.9254514,0.373598644,0.179101466
ACB,Ngân hàng,1.995005221,21.84241827,,,,,,,,,22.34843178,,18.08812912,,,90.87461271,1003.572013,9.125387285,,,,
ACC,Xây dựng và Vật liệu,3.807953611,7.414081251,11.06395693,47944854862,50963515665,8.670535667,9.238500082,19.81082753,3.162341592,16.05997401,8.172956213,-2.216970196,36.61615934,1.851449861,0.846340586,49.35993155,101.3715011,50.64006845,0.816092238,0.935974986,0.945587115,0.321637001
ACE,Xây dựng và Vật liệu,9.7033863,24.40965583,6.166268121,19264660127,19264660127,6.763018324,6.763018324,18.65999642,10.57934844,1.423580261,-7.752809482,-8.400314395,-5.793168668,1.558662171,0.971446713,60.07747646,151.4018323,39.92252354,4.927978301,4.26391069,5.318468254,1.597972293
ACG,Lâm nghiệp và Giấy,9.344326623,12.43941427,12.54500634,5.58E+11,6.59E+11,14.48842676,17.137203,29.01794846,10.78174811,3.376371056,-1.180518505,-24.13745541,6.188000126,3.067518994,2.09935857,24.80966341,33.13373514,75.19033659,3.236066859,3.635832399,1.526314575,0.738148991
ACL,Sản xuất thực phẩm,2.74819724,5.371478466,3.604216875,11013359389,43225580346,0.953057143,3.658155829,15.55024148,0.856713509,18.99076127,36.2186073,-0.385442797,0.749861455,1.589369558,0.427999934,51.97593166,110.037026,48.02406834,1.304271366,6.712808503,2.729538714,0.821711281
ACM,Khai khoáng,-4.090610531,-5.970908219,,-30782674951,-30782674951,,,,-5.75969373,,-32.84738648,3.449500726,-0.069097422,0.835290185,0.141315654,32.96887479,49.33361963,67.03112521,0,0,0,0
ACS,Xây dựng và Vật liệu,0.75407121,5.282954845,0.437717045,-4516436080,-4516436080,-1.766452641,-1.766452641,9.54288128,-1.181338027,-31.69792214,-10.05926202,0.469011827,-6.125045805,1.10209597,0.639965014,82.91305063,497.7452135,17.08694937,3.562052402,1.914046431,10.96108494,0.759444804
ACV,Vận tải,8.73518153,11.75531888,36.55602878,7.24E+12,9.53E+12,44.40413708,67.5537335,33.79704547,10.68766442,52.33781063,200.5419228,-108.1635327,8.181551514,7.79706953,7.724797302,28.04616456,39.45698987,71.95383544,37.62527639,1.896330952,0.440482853,0.237660424
ADC,Truyền thông,8.224116501,17.65925481,3.360737073,16561301497,18582120044,4.339493437,4.8759462,35.1507969,10.61828354,3.753076921,4.429335785,,6.500170783,1.490270565,1.04003947,53.41721379,114.8007391,46.58278621,10.72504676,9.117220794,9.440853699,2.445140141
ADG,Truyền thông,7.9076634,11.78108069,7.024005336,41117944065,43273535067,8.318774356,8.765760837,16.23695176,9.305366291,2.657945431,-7.189214591,-13.09079838,3.059304115,2.328230602,2.298619096,30.37117068,47.28238603,69.62882932,248.367594,4.059477155,3.053146043,1.124080513
ADP,Xây dựng và Vật liệu,17.8566662,22.66885964,10.85519962,77955511429,77955511429,13.5650986,13.5650986,20.14279821,22.31137399,15.10629033,8.825290822,-1877.395177,2.063009242,4.069410234,2.742919955,21.2207888,27.16192097,78.7792112,6.073407842,8.795709837,2.573835481,1.643727977
ADS,Hàng cá nhân,2.994622583,9.68265461,4.180439459,39164834742,76513453529,2.413868038,4.820170527,8.817059398,1.710461147,5.272693597,65.12623383,-0.802276046,9.186766437,1.234098694,0.87177977,68.80027612,230.3221237,31.19972388,3.09260587,2.146423815,4.88204145,0.735623251
AFX,Phân phối thực phẩm & dược phẩm,2.784615054,5.755507159,1.927391503,6409245498,13211001370,1.016883366,1.589975662,3.420267022,1.425065649,35.35290423,11.36415671,-2.5225339,49.02569369,2.173513923,1.481390622,49.92271322,141.9616068,50.07728678,9.665447445,3.338407932,6.451509281,1.621306497
AG1,Hàng cá nhân,-0.197958594,-0.369723098,-0.863872545,1770823206,5133986255,-1.100997932,0.552650749,10.97027778,-0.511652845,28.20081281,-48.38394232,-18.66897661,13.43013195,1.287279592,0.405599481,64.70491315,187.7237892,35.29508685,3.232059955,14.25884867,12.18012493,2.023110111
