Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Tổng lợi nhuận kế toán trước thuế,Khấu hao TSCĐ,Lãi/(lỗ) trước những thay đổi vốn lưu động,Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh (TT),"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác (TT)","Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác (TT)","Tiền chi cho vay, mua các công cụ nợ của đợn vị khác (TT)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (TT)",Lưu chuyển tiền tệ ròng từ hoạt động đầu tư (TT),"Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu (TT)","Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành (TT)",Tiền thu được các khoản đi vay (TT),Tiền trả nợ gốc vay (TT),Tiền thanh toán vốn gốc đi thuê tài chính (TT),Cổ tức đã trả (TT),Lưu chuyển tiền tệ từ hoạt động tài chính (TT),Lưu chuyển tiền thuần trong kỳ (TT),Tiền và tương đương tiền đầu kỳ (TT),Ảnh hưởng của chênh lệch tỷ giá (TT),Tiền và tương đương tiền cuối kỳ (TT)
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2020,Đã kiểm toán,51462500000,,,4279750731,-5442645248,9090909,0,0,3292741725,0,0,36965000000,-45686758876,0,-14960000000,-23681758876,-16109266420,60513753437,-45406231,44359080786
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2021,Đã kiểm toán,41515000000,,,66906678336,-4580133081,1948181818,0,0,4458803530,0,0,0,0,0,-18428000000,-18428000000,52937481866,44359080786,2680724,97299243376
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2022,Đã kiểm toán,45146000000,,,-15759256355,-6429486876,0,0,0,4447019851,0,0,0,0,0,-28146580000,-28146580000,-39458816504,97299243376,-44335675,57796091197
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2023,Đã kiểm toán,45146000000,,,11446689905,-7553203392,741000000,0,0,4213326353,0,0,0,0,0,-17228290000,-17228290000,-1568273742,57796091197,-23978876,56203838579
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,,,,45146000000,,,,,,,,,,,,,,,,,,,
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2020,Chưa kiểm toán,6.875E+11,2.87129E+11,6.78371E+11,6.12539E+11,-2.71434E+11,4112727274,-1.7631E+12,2.68386E+12,34701081384,5.69962E+11,0,6.92955E+12,-7.36525E+12,0,-1.08672E+11,25588860731,6.72829E+11,2.91675E+11,-786219254,9.63717E+11
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2021,Chưa kiểm toán,6.5875E+11,3.15935E+11,7.41876E+11,4.4362E+11,-6.68611E+11,6450677615,-1.62106E+12,2.03929E+12,-1.5039E+11,1.14571E+12,0,8.90816E+12,-9.16608E+12,0,-1.48546E+11,7.39245E+11,1.03247E+12,9.63717E+11,-8021280177,1.98817E+12
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2022,Chưa kiểm toán,6.25E+11,3.11001E+11,5.9175E+11,97095210426,-1.68326E+11,5988373461,-6.27265E+11,5.66436E+11,-1.09376E+12,8.54221E+11,0,7.89135E+12,-8.11448E+12,0,-152250000,6.30942E+11,-3.65721E+11,1.98817E+12,20528629131,1.64298E+12
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2023,Đã kiểm toán,6.25E+11,3.30971E+11,6.18901E+11,2.61522E+12,-6.43183E+11,8127328351,-2.26093E+12,1.87098E+12,-1.59936E+12,0,0,6.42237E+12,-6.65811E+12,0,-127343500,-2.35864E+11,7.79992E+11,1.64298E+12,12088699258,2.43506E+12
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2024,Chưa kiểm toán,6.25E+11,3.92935E+11,8.48054E+11,6.9409E+11,-8.38759E+11,23131262833,-2.37373E+12,2.97198E+12,-9.82996E+11,0,0,7.01023E+12,-6.73578E+12,-3502410204,-10532850000,2.60411E+11,-28494842851,2.43506E+12,12954465473,2.41952E+12
5,3,AAH,Than Hợp Nhất,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,5,2023,Đã kiểm toán,1.385E+11,75350672371,85377178598,1.49111E+11,-10860551180,648148148,-1.9753E+11,1.68E+11,-1.24388E+11,0,0,1.07033E+11,-1.03921E+11,-440000000,0,2672267367,27394509783,3313407474,29426,30707946683
5,3,AAH,Than Hợp Nhất,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than,5,2024,Chưa kiểm toán,1.385E+11,,,9779875976,0,0,-2.43468E+11,2.62116E+11,-56852369467,0,0,1.5283E+11,-1.27722E+11,0,0,25107732633,-21964760858,30707946683,0,8743185825
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2020,Chưa kiểm toán,0,3308823611,-12842439217,-24311448296,-1370951179,200000000,-26000000000,58350000000,34349593895,0,0,16735627507,-9152500305,0,-5225591000,2357536202,12395681801,13793393220,69672834,26258747855
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2021,Chưa kiểm toán,1000000000,3114330669,2477729253,45312490419,-746072727,0,-5000000000,3000000000,-2287699235,0,0,4375700000,-11958827202,0,0,-7583127202,35441663982,26258747855,111883619,61812295456
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2022,Chưa kiểm toán,10000000000,3256641665,18099193250,-3970805102,-3217643736,0,-1.12E+11,65000000000,-48053251476,0,0,0,0,0,0,0,-52024056578,61812295456,462657296,10250896174
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2023,Đã kiểm toán,10000000000,2622589146,-43968006,-24230847125,-238000000,0,-25000000000,69000000000,44001754869,0,0,0,0,0,-7315827400,-7315827400,12455080344,10250896174,183008128,22888984646
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2024,Chưa kiểm toán,10000000000,1942401752,-5063266189,34043716170,-105000000,0,0,5000000000,5443429617,0,0,0,0,0,0,0,39487145787,22888984646,320568522,62696698955
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2020,Chưa kiểm toán,4805350851,23477333385,,49065683797,-694408273,0,0,0,-409771999,0,0,1.76452E+11,-1.55836E+11,0,0,20615873007,69271784805,1.84253E+11,0,2.53525E+11
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2021,Chưa kiểm toán,6E+11,23641926722,,-1.95285E+11,-2256991000,0,0,0,-1837592372,4.9E+11,0,1.55803E+11,-1.65851E+11,0,0,4.79952E+11,2.8283E+11,2.53525E+11,0,5.36355E+11
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2022,Chưa kiểm toán,1.05385E+11,1334566187,,-5.20933E+11,-1.94923E+11,0,0,0,-1.94002E+11,0,0,9.67032E+11,-5.37849E+11,0,0,4.29183E+11,-2.85752E+11,5.36355E+11,0,2.50602E+11
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2023,Đã kiểm toán,1.05385E+11,2711461303,,-1.01811E+12,-33621497940,0,0,0,-33221847732,7.99938E+11,0,3.38348E+12,-2.81415E+12,0,0,1.36927E+12,3.17939E+11,2.50602E+11,0,5.68541E+11
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2024,Chưa kiểm toán,1.05385E+11,5728288758,,-1.63245E+12,-42108669812,0,0,0,-41737521338,0,0,7.1496E+12,-5.74895E+12,0,0,1.40065E+12,-2.73541E+11,5.68541E+11,0,2.95E+11
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2020,Đã kiểm toán,62500000000,,,1019204676,-29960257964,65154773200,0,0,35255740913,0,0,1.66372E+11,-1.87108E+11,-939440000,0,-21675407017,14599538572,5126341359,140492,19726020423
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Thực ,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2021,Đã kiểm toán,1.625E+11,,,48150054552,-2.96958E+11,0,0,0,-2.96751E+11,2.5E+11,0,3.46559E+11,-2.41327E+11,0,-33052045000,3.22181E+11,73579780719,19726020423,10638766,93316439908
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2022,Đã kiểm toán,62500000000,,,-2.38469E+11,-1.14088E+11,2.98858E+11,-36900000000,0,1.47989E+11,0,0,2.70562E+11,-2.57586E+11,0,0,12975799828,-77503860299,93316439908,0,15812579609
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2023,Đã kiểm toán,62500000000,,,41388654406,-6257540771,6257540771,-39000000000,1000000000,-36009573348,0,0,2.41828E+11,-2.58356E+11,-2424797060,0,-18952205167,-13573124109,15812579609,-160236416,2079219084
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2024,Chưa kiểm toán,62500000000,41363636773,37000559074,-71345568701,-27387912903,0,-26588010013,20000000000,38411747365,0,0,2.83322E+11,-2.3978E+11,0,0,42348981428,9415160092,2079219084,0,11494379176
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2020,Chưa kiểm toán,37500000000,7547333313,26405954721,-24449609505,-4348203989,0,-2978528878,2300000000,-3847990497,0,0,1.76842E+11,-1.65276E+11,0,0,11565102894,-16732497108,19757069423,207569,3024779884
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2021,Chưa kiểm toán,23750000000,3629315808,38962122746,-3.69349E+11,-9880768397,11693219,0,26978528878,19315546968,3.6595E+11,0,1.09416E+11,-1.26144E+11,0,0,3.49222E+11,-811721421,3024779884,0,2213058463
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2022,Chưa kiểm toán,16250000000,9773646195,28240965729,-29951178675,-11469016104,0,-54259910500,0,-63782840792,23314810000,0,2.44462E+11,-1.73008E+11,0,-805000000,93963234588,229215121,2213058463,0,2442273584
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2023,Đã kiểm toán,16250000000,2178976005,-44647796627,30319080247,0,0,-18240000000,19238289500,3515773672,0,0,77420690000,-1.1326E+11,0,0,-35839632414,-2004778495,2442273584,0,437495089
5,7,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản,5,2024,Chưa kiểm toán,16250000000,11351265490,-6229941130,2.1355E+11,0,0,-2.98E+11,1.6E+11,-2.11388E+11,0,0,1.12683E+11,-1.10136E+11,0,0,2546647000,4708312204,437495089,0,5145807293
5,8,ABA,Giải pháp Thương mại A BA,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,5,2023,Đã kiểm toán,,39763398958,25020148717,-21060529149,-138661659,169949495,0,0,45409380,0,0,2.27987E+11,-2.20488E+11,0,0,7498301188,-13516818581,16816479315,3859596,3303520330
5,8,ABA,Giải pháp Thương mại A BA,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,5,2024,Chưa kiểm toán,,37306481005,29334596122,-5911265314,0,860202020,0,0,860202020,0,0,1.93182E+11,-1.84261E+11,0,0,8920921503,3869858209,3303520330,0,7173378539
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2020,Đã kiểm toán,1.973E+12,,1.67673E+12,4.28863E+12,-91710000000,,,,-15461000000,0,,0,0,,0,0,4.27317E+12,2.20975E+13,0,2.63707E+13
5,9,ABB,Ngân hàng An Bình,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,5,2021,Đã kiểm toán,3.079E+12,,2.43811E+12,-5.91451E+12,-53253000000,,,,47017000000,1.29116E+12,,0,0,,0,1.29116E+12,-4.57633E+12,2.63707E+13,0,2.17944E+13
