Name,Code,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,9-Dec,10-Dec,11-Dec,12-Dec,13-Dec,16-Dec,17-Dec,18-Dec,19-Dec,20-Dec,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,30-Dec,31-Dec
JST.CMLBK.FOR FRT. OF VIET NAM,VCB,94200,93000,93500,94000,94200,95300,94500,93300,93500,93100,93100,93000,93100,92400,92500,92400,92100,92400,92100,92200,92000,91200
VIX SECURITIES,VIX,10050,9880,9710,10350,10200,10250,10200,10150,10150,10050,10350,10300,10350,10200,10300,10200,10100,10250,10150,10150,10000,9850
120 MECHANICAL,CK8,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
1369 CONSTRUCTION,C69,6400,6500,6500,6500,6300,6400,6500,6400,6400,6300,6300,6300,6300,6300,6300,6400,6400,6600,6500,6400,6500,6600
22 JOINT STOCK COMPANY,C22,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600,16600
26 JSC,X26,31000,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400
28.1 COMPANY,AG1,10300,11000,10500,11400,11900,11200,11500,11500,11500,11500,11500,11800,13000,12800,12800,11400,12000,12800,12800,11500,11900,13400
29 INCON.&.ENGR. JSC.,E29,7300,7300,7300,7300,7300,7300,6400,6400,7300,6300,6400,6400,6400,7300,6300,6300,6300,6300,6300,6000,6200,6100
32 JOINT C,A32,34800,34800,34900,34900,39000,39000,39000,39000,35000,35000,35000,35000,35000,35400,35400,35400,35300,35300,35300,35300,38900,38200
36,G36,6300,6400,6400,6500,6400,6600,6600,6400,6500,6500,6400,6300,6400,6300,6400,6400,6500,6800,6700,6700,6700,6600
382 DONG ANH,DAC,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
397 JOINT STOCK COMPANY,BCB,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
40 INVESTMENT AND CONSTRUCTION,L40,38700,36200,38100,38100,37000,37700,37500,36800,36800,36800,36800,34600,35000,33100,33100,33000,30500,33500,33500,33500,34000,34000
532 ONE MEB.LLC.,TS3,5100,5200,5100,5100,5100,5100,5100,5100,5200,5200,5100,5100,5100,5100,5100,5200,5100,5100,5400,5200,5100,5200
577 INVESTMENT,NBB,23950,24200,24000,23900,23450,23500,23500,23150,21600,23000,22550,22750,22350,22350,22050,22200,22200,22000,22200,23000,22150,22600
715,BMN,8300,8300,8300,8700,9000,9000,9000,9000,9000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8100
911 GROUP,NO1,10800,11550,10800,11000,10900,10750,10800,10900,11000,10800,10500,10850,10850,10650,10850,11350,11400,12150,12000,11200,11000,10850
A CUONG MINERAL,ACM,600,600,600,600,600,600,600,600,600,500,500,500,500,500,600,600,600,600,600,700,700,700
A DONG PAINT JSC,ADP,29400,29700,29000,29000,28800,28500,28500,28500,28500,28200,29050,29150,29100,29000,28300,28500,28600,28500,28500,29000,29000,28950
A VUONG HYDROPOWER,AVC,54000,54500,54500,54500,54500,55500,55000,54900,55000,55000,55000,55000,54000,54000,54000,54600,54000,54100,54100,54400,54400,54200
AAV GROUP JSC,AAV,6800,7400,7600,7600,7500,8100,7800,7800,7600,7600,7600,7600,7600,7600,7700,7900,7700,7500,7400,7500,7500,7300
